minimum number of users;Number of Phenotypes with exactly that many users;Number of Phenotypes;;;;;;;;
1;5;47;;;;;;;;
2;2;42;;;;;;;;
3;3;40;;;;;;;;
4;2;37;;;;;;;;
5;2;35;;;;;;;;
6;2;33;;;;;;;;
7;3;31;;;;;;;;
8;2;28;;;;;;;;
9;0;26;;;;;;;;
10;3;26;;;;;;;;
11;2;23;;;;;;;;
12;0;21;;;;;;;;
13;0;21;;;;;;;;
14;1;21;;;;;;;;
15;2;20;;;;;;;;
16;1;18;;;;;;;;
17;1;17;;;;;;;;
18;3;16;;;;;;;;
19;0;13;;;;;;;;
20;0;13;;;;;;;;
21;3;13;;;;;;;;
22;0;10;;;;;;;;
23;1;10;;;;;;;;
24;0;9;;;;;;;;
25;0;9;;;;;;;;
26;0;9;;;;;;;;
27;1;9;;;;;;;;
28;0;8;;;;;;;;
29;1;8;;;;;;;;
30;0;7;;;;;;;;
31;1;7;;;;;;;;
32;1;6;;;;;;;;
33;0;5;;;;;;;;
34;2;5;;;;;;;;
35;1;3;;;;;;;;
36;0;2;;;;;;;;
37;0;2;;;;;;;;
38;0;2;;;;;;;;
39;0;2;;;;;;;;
40;0;2;;;;;;;;
41;0;2;;;;;;;;
42;0;2;;;;;;;;
43;0;2;;;;;;;;
44;0;2;;;;;;;;
45;1;2;;;;;;;;
46;0;1;;;;;;;;
47;0;1;;;;;;;;
48;0;1;;;;;;;;
49;0;1;;;;;;;;
50;0;1;;;;;;;;
51;0;1;;;;;;;;
52;0;1;;;;;;;;
53;0;1;;;;;;;;
54;1;1;;;;;;;;
55;0;0;;;;;;;;
;;;;;;;;;;
;47;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;